Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Paramoden (MK Land),Melaka,1,98377340,KL Central,11525,Selangor State Park,1000,Berjaya Times Square,Freehold,3,REN 05466,"Gymnasium, Barbeque area, Tennis Court",2013,255000,Sekolah Seni Malaysia,Apartment
Cheras Hong Soon Development Sdn. Bhd.,Selangor,2,97940583,KL Central,11830,Selangor State Park,1044,The Exchange TRX,Freehold,3,REN 43298,"Parking, Barbeque area, Playground, Gymnasium, Sauna, Multipurpose hall, Swimming Pool, Minimart, Lift, Jogging Track, Club house, Tennis Court, Squash Court",2006,420000,SMK Bukit Jambul,Service Residence
Masteron Group,Selangor,2,95823750,"Bus Stop at Jalan Utama 2
Bus Stop at Jalan Utama 1
Bus Stop at Jalan SR 1/10",11830,"Park at Taman Serdang Utama, Bukit Serdang
Park at SK 2, Kampung Baru Seri Kembangan
Park at Serdang Raya 6, Serdang Raya
Park at Serdang Raya 7, Serdang Raya
Park at SK 4, Kampung Baru Seri Kembangan
Park 2 at SK 5, Kampung Baru Seri Kembangan",875,Sunway Pyramid,Freehold,3,REN 43298,"Sauna, Tennis Court, Squash Court, Multipurpose hall, Minimart",1995,280000,SMK Bukit Jambul,Apartment
Top Home Builder Development,Selangor,2,103796815,Terminal Sentral Kuantan Bus terminal,11697,Gunung Ledang National Park,850,The Exchange TRX,Freehold,3,REN 21185,"Sauna, Lift, Swimming Pool, Barbeque area, Security, Parking, Minimart, Squash Court, Club house, Playground, Multipurpose hall, Gymnasium, Tennis Court, Jogging Track",1994,325000,SMK Bukit Jambul,Condominium
Land & General Berhad,Kuala Lumpur,1,102283762,Pudu Sentral,11670,Taman Negara,1100,Sunway Pyramid,Freehold,3,REN 16852,"Swimming Pool, Jogging Track, Security, Tennis Court, Playground",2011,440000,MRSM Tun Ghafar Baba,Condominium
Jaya Megah Development Sdn Bhd,Kuala Lumpur,1,100815948,KL Central,11605,Selangor State Park,1141,Berjaya Times Square,Freehold,3,REN 47532,"Jogging Track, Gymnasium, Barbeque area, Swimming Pool, Parking, Tennis Court, Club house, Multipurpose hall, Lift, Security, Sauna, Minimart, Squash Court",1990,300000,SMK Bukit Jambul,Condominium
UEM Sunrise Berhad,Sarawak,1,100253281,Terminal Sentral Kuantan Bus terminal,77778,Gunung Ledang National Park,2233,One Utama,Leasehold,4,REN 66961,Barbeque area,2004,650000,SM Sains T. Munawir,Condominium
Asia Green Group,Johor,2,103796877,Seremban Bus terminal,77778,Gunung Ledang National Park,2080,One Utama,Leasehold,5,REN 63582,"Parking, Swimming Pool, Gymnasium, Security, Sauna, Squash Court, Playground, Club house",2013,449000,SM imtiaz Kemaman,Apartment
Platinum Victory Development Sdn Bhd,Kuala Lumpur,2,103796871,"Bus Stop Diamond Square
Bus Stop Jalan Semarak Api
Bus Stop Diamond Square (Opp)
Bus Stop Kg Puah
Bus Stop Taman P. Ramlee
Bus Stop SMJK Chong Hwa
Bus Stop Taman Genting Setapak
Bus Stop SMJK Chong Hwa (Opp)
Bus Stop Courts Megastore Setapak (Opp)
Bus Stop Courts Megastore Setapak
Bus Stop Rumah 148
Bus Stop KFC Genting Klang
Bus Stop BSN Genting Klang
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop Saad Mosque
Bus Stop Guan Ying Ting
Bus Stop Jalan Genting Klang
Bus Stop Abi Waqqas Mosque (Opp)
Bus Stop 1 Tadika Ayer Panas
Bus Stop 2 Tadika Ayer Panas
Bus Stop Sri Pelangi Condominium
Bus Stop Guan Ying Ting (Opp)",11766,"Park 1 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Desa Gombak, Setapak, Kuala Lumpur, Malaysia
Park 2 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Taman Ayer Panas, Setapak, Kuala Lumpur, Malaysia",1025,Sunway Pyramid,Freehold,3,REN 23265,"Tennis Court, Swimming Pool, Sauna, Barbeque area, Gymnasium",2012,600000,MRSM Tun Ghafar Baba,Condominium
IOI Properties Group Berhad,Penang,2,101941512,Seremban Bus terminal,11924,Taman Negara,513,One Utama,Freehold,2,REN 66961,"Barbeque area, Sauna, Security, Tennis Court, Playground, Gymnasium, Multipurpose hall",1998,160000,SMK Bukit Jambul,Flat
